RoadID keys statistics:
* total number of keys: 1098
* number of different keys: 523
* distribution: 
key 96146652 appeared 0.18215% of times.
key 220917827 appeared 0.09107% of times.
key 30042275 appeared 0.09107% of times.
key 220917825 appeared 0.09107% of times.
key 169425782 appeared 0.09107% of times.
key 141530391 appeared 0.09107% of times.
key 148724133 appeared 0.27322% of times.
key 114108340 appeared 0.09107% of times.
key 169204624 appeared 0.18215% of times.
key 115645281 appeared 0.09107% of times.
key 233513069 appeared 0.09107% of times.
key 169560977 appeared 0.09107% of times.
key 173319135 appeared 0.09107% of times.
key 196117052 appeared 0.09107% of times.
key 229782563 appeared 0.09107% of times.
key 59174421 appeared 0.09107% of times.
key 34104220 appeared 0.09107% of times.
key 172642271 appeared 0.09107% of times.
key 121657045 appeared 0.09107% of times.
key 169204611 appeared 0.09107% of times.
key 169705349 appeared 0.09107% of times.
key 169705351 appeared 0.18215% of times.
key 169705350 appeared 0.18215% of times.
key 169705345 appeared 0.18215% of times.
key 169207733 appeared 0.09107% of times.
key 200978011 appeared 0.63752% of times.
key 169207732 appeared 0.09107% of times.
key 169207735 appeared 0.09107% of times.
key 42366757 appeared 0.09107% of times.
key 169207734 appeared 0.09107% of times.
key 240329719 appeared 0.09107% of times.
key 172642287 appeared 0.09107% of times.
key 169207728 appeared 0.09107% of times.
key 161802253 appeared 0.09107% of times.
key 169207736 appeared 1.00182% of times.
key 174930880 appeared 0.09107% of times.
key 173319142 appeared 0.09107% of times.
key 24459456 appeared 0.09107% of times.
key 47502188 appeared 0.18215% of times.
key 251616070 appeared 0.09107% of times.
key 169207726 appeared 0.27322% of times.
key 24804550 appeared 0.09107% of times.
key 23115998 appeared 0.09107% of times.
key 33679297 appeared 0.18215% of times.
key 122090116 appeared 0.09107% of times.
key 34104268 appeared 0.18215% of times.
key 169691098 appeared 0.09107% of times.
key 164939805 appeared 0.09107% of times.
key 150585648 appeared 0.09107% of times.
key 42660679 appeared 0.18215% of times.
key 42746691 appeared 0.09107% of times.
key 11315578 appeared 0.09107% of times.
key 55885442 appeared 0.09107% of times.
key 34104273 appeared 0.09107% of times.
key 169612284 appeared 0.09107% of times.
key 139542970 appeared 0.09107% of times.
key 161444976 appeared 0.09107% of times.
key 167457803 appeared 0.09107% of times.
key 34575359 appeared 0.09107% of times.
key 182037294 appeared 0.18215% of times.
key 243910513 appeared 0.18215% of times.
key 128624211 appeared 0.09107% of times.
key 243910512 appeared 0.09107% of times.
key 172792758 appeared 0.09107% of times.
key 161685598 appeared 0.09107% of times.
key 150529285 appeared 0.09107% of times.
key 31757284 appeared 0.09107% of times.
key 27035549 appeared 0.09107% of times.
key 159782789 appeared 0.09107% of times.
key 120495398 appeared 0.09107% of times.
key 162362277 appeared 0.09107% of times.
